Course_ID,Course_Name,,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5)
1,Course_1,,,4217,,,,
2,Course_2,Office Tools,57,4238,82.2402398040761,edX,160.650990907854,3.82932939351993
3,,,,,,,,
,Course_4,Office Tools,69,4308,58.6647294334805,LinkedIn Learning,116.775703882047,3.91373184424667
5,Course_5,Technology,43,4792,,Udemy,96.2466956295664,4.92196809857024
6,Course_6,Finance,66,3792,96.6719004302624,edX,127.509920158119,3.25228346179595
7,,,,,,,,
8,Course_8,Design,21,964,99.0762723987846,edX,79.9409443326851,3.08873048732615
9,Course_9,Programming,57,1246,78.8176224357298,LinkedIn Learning,174.677479920868,4.4984712756428
10,Course_10,Design,59,489,58.8960677572235,edX,82.0948190093404,3.34186750208324
11,Course_11,Finance,80,3118,92.79344906358,edX,194.049733594953,3.71627344171662
12,Course_12,Data Science,88,1590,60.8931706513786,LinkedIn Learning,62.0627864626999,4.60411791834412
13,,,,,,,,
14,Course_14,Programming,61,3096,91.3251302951907,edX,50.7261353374082,4.21390390118995
15,Course_15,Business,42,3272,81.3192923865743,LinkedIn Learning,194.842421196151,3.70773069679737
16,Course_16,Office Tools,40,1172,56.7268952979415,Coursera,24.6660254634354,3.05166626063894
17,Course_17,Programming,35,237,58.2347895101027,Udemy,60.7926116849266,3.15942391125485
18,Course_18,Technology,67,4418,96.34017220957,LinkedIn Learning,147.757977348124,3.52866654810979
19,Course_19,Finance,21,1548,90.769132647074,edX,45.0579207458715,3.80142462116562
20,Course_20,Marketing,17,2884,64.6325011959133,LinkedIn Learning,18.8604339420635,4.44207856502638
21,Course_21,Office Tools,48,1025,93.5146576455743,LinkedIn Learning,19.1118452131302,4.27026209249103
22,Course_22,Data Science,62,2673,92.4357837597671,Udemy,140.88630874987,3.9281422967852
23,Course_23,Office Tools,30,1258,92.6776219350584,Coursera,135.300874124823,4.57938788371423
24,Course_24,Office Tools,64,2598,51.2936613585374,Udemy,66.1518104825211,3.53168515498553
25,Course_25,AI,30,1076,84.1198522089788,Coursera,135.866212758779,3.02992721799123
26,Course_26,Finance,77,2996,62.5994585089401,Udemy,178.472681171319,3.2617584269653
27,Course_27,Office Tools,15,2940,78.7958391770709,Coursera,120.639768572088,4.14545007189054
28,Course_28,Data Science,12,3613,53.062595357131,Coursera,90.5638989973893,4.51785739161863
29,Course_29,Marketing,95,4489,56.8617757972955,edX,159.109189693643,3.57087702483346
30,Course_30,Design,60,2855,64.6983453869397,Udemy,115.264796521011,4.67635885961327
31,Course_31,Marketing,47,2913,91.7564133747598,edX,113.621087345238,3.56489043309077
32,Course_32,Design,26,4502,79.640142427306,LinkedIn Learning,144.847059405872,4.03214353047122
33,Course_33,Technology,52,2241,63.3366957948185,LinkedIn Learning,62.532618670583,4.62394240568377
34,Course_34,Business,14,974,61.3258869032118,edX,66.791802011676,4.74594810320324
35,Course_35,Programming,15,1025,74.9796813628693,LinkedIn Learning,171.67945927378,3.8723091146932
36,Course_36,Office Tools,66,3603,86.3885384739991,Coursera,161.344139907451,3.25321462560811
37,Course_37,Programming,16,2179,78.0838621601183,edX,158.739855766165,3.67044312850111
38,Course_38,Finance,41,178,80.5099260199043,Udemy,153.08543459434,4.79831705700607
39,Course_39,AI,38,3989,66.4020752175957,Udemy,26.0856080380066,4.99113949518324
40,Course_40,Design,19,2883,55.6316531923644,Udemy,119.052946769705,3.12174767100433
41,Course_41,Marketing,88,2840,78.8376993499218,Udemy,36.0129413350393,3.27470309284925
42,Course_42,Technology,74,3265,52.9999011761569,Udemy,41.3289332748605,4.75434950559458
43,Course_43,Technology,57,1736,50.4961984294031,Udemy,130.050913818467,3.7388434999366
44,Course_44,Data Science,75,2331,65.3818332904041,Coursera,172.900702667279,4.50640167552858
45,Course_45,Office Tools,98,3821,69.9442813143541,Udemy,117.927711639313,4.72495628293978
46,Course_46,Office Tools,22,2887,57.8719171415919,LinkedIn Learning,140.641658715678,3.13627190571206
47,Course_47,Business,97,2772,50.5657230794689,edX,192.025062017246,4.50576477711572
48,Course_48,AI,73,3820,77.4184551437482,Coursera,149.560501147037,4.45438369296572
49,Course_49,AI,36,3756,72.4819119255393,LinkedIn Learning,106.184584077772,4.58672857420294
50,Course_50,Programming,40,3089,52.0710148065035,Udemy,74.3645528195237,3.86472886932383
51,Course_51,Design,50,2360,90.2889861742494,Udemy,187.160461736364,4.82147739451682
52,Course_52,AI,50,1440,92.3313469775479,LinkedIn Learning,34.6295013166993,3.48926811726989
53,Course_53,Technology,39,693,78.8599773872078,edX,37.3982855561348,3.42341442906291
54,Course_54,Programming,59,2172,78.1056664530331,Udemy,58.6362010283319,4.38910674084332
55,Course_55,Marketing,71,3016,69.9053917103004,Udemy,120.013219567841,3.17619877828181
56,Course_56,Finance,55,3208,62.0948483665487,Udemy,176.510666479096,3.02374555658247
57,Course_57,AI,15,317,68.1823082893415,LinkedIn Learning,51.5731885352644,4.56735480216273
58,Course_58,Finance,19,913,87.5645377213806,Coursera,193.120895358166,4.16697852534267
59,Course_59,Office Tools,27,4472,99.0992417425892,Coursera,131.041469034431,4.97586935668503
60,Course_60,Programming,42,779,53.1277305847994,LinkedIn Learning,147.599009562814,4.46015690110148
61,Course_61,Data Science,27,304,64.3110568986601,Udemy,132.726380337257,4.12207500709985
62,Course_62,Office Tools,51,572,58.2830965872874,edX,66.0865192237448,3.22276722140311
63,Course_63,AI,54,2328,57.1551886254507,Coursera,124.259587022125,3.09969941139234
64,Course_64,Data Science,67,4328,81.9820825940256,LinkedIn Learning,73.046226463841,4.46837743321438
65,Course_65,Technology,45,4801,54.7380950786463,Coursera,22.4142051770213,3.16013628886875
66,Course_66,Data Science,14,1853,56.7757047785354,Udemy,19.6955892674005,3.00597882647417
67,Course_67,Design,87,2859,55.8178434074934,Udemy,101.228614977353,4.05970277871341
68,Course_68,Business,56,899,72.0409064500761,edX,74.3334595724686,4.86849538653408
69,Course_69,Office Tools,14,3252,67.4973321430454,Udemy,11.2953273420199,4.16068904778142
70,Course_70,Technology,19,4683,74.6179295988455,Udemy,198.473973660719,3.06756522501298
71,Course_71,Programming,41,1280,91.2466710620607,Udemy,52.2182863872544,3.55614490667269
72,Course_72,AI,39,1893,89.436171756929,LinkedIn Learning,114.885955787716,4.52013554657571
73,Course_73,Office Tools,27,3265,73.7430250333209,Udemy,118.528005134786,3.09396868528744
74,Course_74,Office Tools,23,3617,95.1782585246579,Udemy,16.1534686156695,4.65358776137776
75,Course_75,Business,62,2638,53.7789881660927,LinkedIn Learning,167.452967142576,3.12545072885782
76,Course_76,Business,87,2878,78.9383025029261,LinkedIn Learning,161.464050530119,3.6824696283688
77,Course_77,Marketing,32,815,95.6461192861757,Coursera,184.042040773976,3.29832618153641
78,Course_78,Business,74,3650,51.2420668283358,edX,91.2348371042322,3.76537751448484
79,Course_79,Office Tools,26,955,92.9200280855498,LinkedIn Learning,71.506893925559,3.1700367255611
80,Course_80,Business,27,426,83.1158527120414,LinkedIn Learning,49.684226362801,4.22405680520779
81,Course_81,Office Tools,42,3324,56.1667668886658,Udemy,30.3019254239379,4.85188565367414
82,Course_82,AI,84,2244,51.2169408146318,Coursera,151.663419608716,3.12877527232356
83,Course_83,Office Tools,15,2588,95.7903065678173,LinkedIn Learning,65.4475843268426,4.57841411917247
84,Course_84,Technology,28,4011,53.3860938640334,LinkedIn Learning,195.484096554445,3.27010618775685
85,Course_85,Technology,95,2161,91.0123811894028,LinkedIn Learning,147.676977041126,3.78693302656087
86,Course_86,Technology,61,3161,58.914775091569,edX,40.30597843043,3.33688866063412
87,Course_87,Marketing,53,197,67.004200567708,LinkedIn Learning,129.449452328324,3.89503388764416
88,Course_88,Data Science,67,2896,75.0936225918998,edX,107.424284329476,3.48843357518716
89,Course_89,Design,65,935,53.416446735575,LinkedIn Learning,134.279313923431,3.47914504993259
90,Course_90,Data Science,42,3372,56.3550692926486,Coursera,41.095026882378,3.41142016099174
91,Course_91,Design,88,3178,86.8962675975259,LinkedIn Learning,151.353889904204,4.57831611306326
92,Course_92,Office Tools,63,141,55.7028017305604,Udemy,48.5074942718433,4.24178253581815
93,Course_93,Finance,14,4684,69.1292676296953,Coursera,186.930145273271,4.20977393113249
94,Course_94,Technology,79,2778,75.4044871366797,Udemy,199.691237234451,3.6152275449589
95,Course_95,Technology,67,1458,93.0934901056846,edX,161.250406917667,4.4249603164263
96,Course_96,Programming,42,3052,52.9594376832766,Coursera,161.839853503177,3.25949822209683
97,Course_97,Business,57,4616,62.614952127563,LinkedIn Learning,140.472540436152,3.51151212213424
98,Course_98,Design,49,2299,88.3133401350283,Coursera,45.967519961297,3.11410466179976
99,Course_99,Design,54,4170,51.3483935819503,edX,193.185243192816,4.04321295432163
100,Course_100,Marketing,22,4607,51.33333659273,Coursera,166.780325773755,4.16640864871618
101,Course_101,Design,21,259,56.6211338959446,Udemy,99.3218568534684,4.66939061856465
102,Course_102,AI,77,861,83.2150414803807,Coursera,145.435794049178,3.04388436977908
103,Course_103,Programming,25,121,93.5488733818454,LinkedIn Learning,131.145827564184,3.30733311375339
104,Course_104,Technology,78,1212,94.3099441717272,Coursera,140.023542587998,3.91816066722406
105,Course_105,Data Science,47,690,71.4759506606723,edX,44.225524025757,4.68205428523267
106,Course_106,Finance,44,3237,86.8551841089677,edX,142.892457134193,3.78698409767888
107,Course_107,Programming,77,1574,95.6410702524815,LinkedIn Learning,93.7130621928512,4.91038282697891
108,Course_108,Design,48,4524,82.2270124221166,Udemy,179.238073354284,4.43349387004292
109,Course_109,Technology,66,3572,91.8284130333666,LinkedIn Learning,56.7155880059053,4.41344267230704
110,Course_110,Programming,54,1295,75.6768363894456,LinkedIn Learning,25.8581714463698,4.36471617768233
111,Course_111,Data Science,42,2073,82.3448647854577,LinkedIn Learning,100.914726213947,3.70657901962499
112,Course_112,Programming,100,2615,68.1466905735165,Coursera,96.4592153314139,4.97969627080831
113,Course_113,Marketing,40,4146,52.7382994942477,edX,147.938824404512,3.55385088090598
114,Course_114,Finance,45,2044,83.2680967336561,Coursera,196.035667301814,4.95311558188023
115,Course_115,Finance,36,1012,88.2721469726992,Coursera,22.6785273479781,4.6997921637262
116,Course_116,AI,48,3947,90.7414269472253,Coursera,45.674034251298,3.27269351164735
117,Course_117,Technology,98,185,98.4995024996049,LinkedIn Learning,77.5162090604781,4.79508306300291
118,Course_118,Programming,95,2338,63.2188011992803,LinkedIn Learning,166.503808149737,4.97905188711296
119,Course_119,Technology,51,682,64.601310855949,Udemy,50.0648585768517,3.01558850450793
120,Course_120,Office Tools,51,3854,53.1723396348192,Coursera,171.906671796828,4.84216082252329
